Mixture	Endothelial	CAFs	PVL	B-cells	T-cells	Myeloid	Normal Epithelial	Plasmablasts	Cancer Epithelial	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-E9-A5FL	1.17818555422562	2.6236649538525	0.636270085943628	0	0	0.555538648233683	1.39958247759259	0.0553871545849601	1.54178039829501	0	0.410952174230323	0.957212366784393	7.990409272728
TCGA-EW-A1P4	0.584786960081101	1.9154424604469	0.408299491551104	0	0.20746917068396	0.829575559312559	1.5108441045425	0.539693959804991	2.45720300463099	0	0.327822136214481	0.971829468928929	8.4533147110541
TCGA-EW-A1P8	0.456166155120132	0.886831950837258	0.281938110365764	0	0	1.19216513756858	3.19283075230894	0	1.98734875736769	0	0.571578018813333	0.821608430233312	7.99728086356837
TCGA-EW-A1PB	0.116895182338393	0.219701180843963	0.0955387227490224	0	0.263486800320951	4.51747565792402	1.43852975771094	0	1.88617361244909	0	0.261333386582066	1.03918145937579	8.53780091433637
TCGA-EW-A1PH	0.489377250940619	1.09033450946753	0.14214510762506	0	0	0.0354217518831118	3.59212907410906	0.257477353142091	1.8343689514967	0	0.483088513087383	0.881504350406712	7.44125399866417
TCGA-EW-A6SB	0.0926635844560123	0.101298998250724	0.188349851062653	0	0.142689511079703	0.711980336809079	2.07691052189247	2.84246640759653	1.02545796765433	0	0.305754461501475	0.956896425462858	7.1818171788015
TCGA-GM-A2DF	0.731919506221241	1.30341925278418	0.544729575358395	0	0	0.76222623293241	2.32259460979554	1.28673748240448	0.923253898680729	0	0.566239385916158	0.826480539091178	7.87488055817698
TCGA-GM-A3XL	0.166869494142028	0.202484288223709	0.00396444821262779	0	0.221836409412973	1.19639977833549	1.74598494728426	0.680463601087944	2.52246549401268	0	0.305192357550354	0.965882679064187	6.74046846071171
TCGA-HN-A2NL	0.470865221514928	0.716309694186242	0.142793009725239	0	0.0385448466513383	0.399747702971994	1.80716416773183	0.723728262568049	1.52081461513272	0	0.248944449527725	0.99502346387524	5.81996752048234
TCGA-LL-A5YP	0.78786316052334	3.70161049099977	1.06279127674411	0	0	0.870444856699305	1.82926667477345	0.389182365436046	0.802999693227205	0	0.500315048216706	0.912627122398749	9.44415851840323
TCGA-LL-A6FR	0.341902171701804	4.32298604638549	0.730099658987574	0	0	0.371532963845449	2.38602689591184	0.405292258470757	1.78607041117912	0	0.493224111239515	0.923180190587113	10.343910406482
TCGA-LL-A73Y	1.57311229517593	3.79053032937515	1.16523155410972	0.0452997009983368	0	0.295942506324639	1.83324699071143	0.334213433522532	0.389070409638116	0	0.384933188113608	1.02191872019442	9.42664721985586
TCGA-LL-A8F5	0.416935446020796	0.714599982793103	1.17928270180892	0	0	0.590767107706876	2.10622550874982	2.36362753555263	1.29275109319876	0	0.302037591357552	0.963914223790205	8.6641893758309
TCGA-OL-A5D7	0.2430729428204	0.356221080650109	0.204351530461395	0.076442467177695	0.434131413510444	1.2368187817247	1.33637928057973	0.570815169283258	2.04882915801336	0	0.282627259583809	0.972110593554741	6.50706182422109
